TotalCases,TotalDeaths,POPEST_2018_B_U18,POPEST_2018_B_18TO64,POPEST_2018_B_65PLUS,POPEST_2018_B_85PLUS,UNEMPLOYED,VETPOP_2019_65TO84,VETPOP_2019_85PLUS,VETPOP_2019_TOTAL,HOUSEHOLD_SIZE,HOUSING_UNITS,AREA_TOTAL,AREA_WATER,PER_AREA_WATER,DENSITY_POP,DENSITY_HOUSE,PER_OBESITY,PER_DIABETES,OVERCROWDING,PER_DRIVE_ALONE,PER_RURAL,POP_RURAL,PER_UNINSURED,PER_CHILD,PER_ADULT,PER_65PLUS,PER_85PLUS,MED_INCOME_2018,PER_COLLEGE_EDU,INCOME_RATIO,PER_UNEMPLOYED
709,8,3979,10807,3700,364,379,676.6322111,131.8124732,1528.859084,2.64,8865,556.7,25.72,0.046200826,34.9,16.7,0.352,0.099,2.090843547,0.862073864,0.824900205,15292,0.112447056,0.215243968,0.584604566,0.200151466,0.019690577,41510,0.411116215,4.397613792,0.035069862
684,10,2115,7002,2641,239,217,415.1316809,28.51831339,807.9293632,2.51,5843,319.52,11.2,0.035052579,37.7,19,0.338,0.135,1.659292035,0.863952096,1,11638,0.125435932,0.17987753,0.59550944,0.224613029,0.020326586,36703,0.371825397,4.531982468,0.030991145
2269,32,10618,32576,10818,985,917,2083.992068,301.4884494,4327.735441,2.58,23499,314.3,40.23,0.127998727,187.6,85.7,0.367,0.167,2.327346319,0.780816435,0.594880075,30581,0.116437208,0.196585944,0.603125231,0.200288825,0.018236688,47264,0.512225653,4.367025293,0.028149558
1416,21,2976,10746,4056,410,263,630.9830275,83.58019709,1278.791511,2.31,8956,302.72,4.25,0.014039376,61.1,30,0.275,0.134,1.663051338,0.832837388,0.852115764,15546,0.125840054,0.167397908,0.604454944,0.228147148,0.023062212,34151,0.390369541,4.806140168,0.024474223
18764,149,97591,294037,73661,8535,7048,11940.71194,2315.16449,29338.14344,2.43,194949,525.87,17.65,0.033563428,850.5,383.6,0.307,0.107,1.563404748,0.83325561,0.109213698,47205,0.098061332,0.209742762,0.631944877,0.158312361,0.018343438,54437,0.711278081,4.92520663,0.023969773
1176,6,1050,5195,1166,139,93,152.7003569,35.23356894,340.0893768,2.19,2598,193.89,28.11,0.144979112,47.2,15.7,0.374,0.102,1.585081585,0.864495798,1,7832,0.116480163,0.141681285,0.700985022,0.157333693,0.018755903,34966,0.3005352,5.936408213,0.017901829
2050,23,5827,15921,4077,373,554,645.5750399,75.17955696,1487.300686,2.41,11256,507.58,35.59,0.070117026,58.9,23.8,0.446,0.204,3.437660339,0.882107115,0.586625921,16317,0.119483639,0.225634076,0.616495644,0.157870281,0.014443369,37915,0.360113556,4.72232362,0.034796809
2700,34,10932,25008,7794,866,739,1254.64138,230.6445021,2703.401302,2.63,18177,617.99,0.86,0.001391608,67.8,29.5,0.333,0.148,3.539273518,0.83979807,0.758771406,31769,0.13025484,0.249965702,0.571820552,0.178213747,0.019801527,41553,0.458425609,4.671331138,0.029550544
763,14,2602,6955,2529,308,225,340.2862034,56.66922198,858.302123,2.46,5470,282.49,0.4,0.001415979,43.1,19.4,0.417,0.174,2.113127001,0.763542739,0.701915961,8536,0.121592845,0.215290419,0.575459209,0.209250372,0.025484031,37139,0.45251608,4.120280859,0.032350827
1612,15,7540,19947,6630,679,506,1136.668652,232.1891124,2616.566586,2.45,15241,570.72,0.38,0.000665826,58.5,26.7,0.367,0.115,2.716593245,0.853471155,0.724888343,24183,0.114425646,0.221004191,0.584664537,0.194331272,0.019902102,45736,0.431018819,4.262997225,0.025367223
